"";"properties_skz";"lat";"long";"school_adress";"properties_bezeichnung";"properties_erhalter";"elevation";"tooltip"
"57";921111;48,2800538;16,4021927;"Jochbergengasse 1, 1210 Wien";"Volksschule";"öffentl.";0,25;"25% - 

 - Volksschule - Jochbergengasse 1, 1210 Wien - 

 - öffentl."
"58";921251;48,2701705;16,4432297;"Dopschstraße 25, 1210 Wien";"Volksschule";"öffentl.";0,357142857142857;"36% - 

 - Volksschule - Dopschstraße 25, 1210 Wien - 

 - öffentl."
"59";921081;48,2603487;16,3894754;"Dunantgasse 2, 1210 Wien";"Volksschule";"öffentl.";0,364583333333333;"36% - 

 - Volksschule - Dunantgasse 2, 1210 Wien - 

 - öffentl."
"60";921101;48,2903152;16,3887002;"Irenäusgasse 2, 1210 Wien";"Volksschule";"öffentl.";0,363636363636364;"36% - 

 - Volksschule - Irenäusgasse 2, 1210 Wien - 

 - öffentl."
"61";921121;48,2821073;16,448797;"Lavantgasse 35, 1210 Wien";"Volksschule";"öffentl.";0,415730337078652;"42% - 

 - Volksschule - Lavantgasse 35, 1210 Wien - 

 - öffentl."
"62";921311;48,2924194;16,4150401;"Schumpeterweg 3, 1210 Wien";"Volksschule";"öffentl.";NA;"NA - 

 - Volksschule - Schumpeterweg 3, 1210 Wien - 

 - öffentl."
"63";921381;48,2533969;16,4168851;"Donaufelderstraße 77, 1210 Wien";"Volksschule";"öffentl.";0,471264367816092;"47% - 

 - Volksschule - Donaufelderstraße 77, 1210 Wien - 

 - öffentl."
"64";921321;48,2846679;16,4102944;"Hanreitergasse 2, 1210 Wien";"Volksschule";"öffentl.";0,393258426966292;"39% - 

 - Volksschule - Hanreitergasse 2, 1210 Wien - 

 - öffentl."
"65";921191;48,252128;16,4011567;"Priessnitzgasse 1-3/II, 1210 Wien";"Volksschule";"öffentl.";0,511627906976744;"51% - 

 - Volksschule - Priessnitzgasse 1-3/II, 1210 Wien - 

 - öffentl."
"66";921051;48,2661283;16,3833252;"Christian-Bucher-Gasse 14, 1210 Wien";"Volksschule";"öffentl.";0,37037037037037;"37% - 

 - Volksschule - Christian-Bucher-Gasse 14, 1210 Wien - 

 - öffentl."
"67";921131;48,2561446;16,4099998;"Mengergasse 33, 1210 Wien";"Volksschule";"öffentl.";0,355555555555556;"36% - 

 - Volksschule - Mengergasse 33, 1210 Wien - 

 - öffentl."
"68";921331;48,2595235;16,4374077;"Zehdengasse 9, 1210 Wien";"Volksschule";"öffentl.";0,394230769230769;"39% - 

 - Volksschule - Zehdengasse 9, 1210 Wien - 

 - öffentl."
"69";921201;48,2942221;16,3809957;"Mayerweckstraße 1, 1210 Wien";"Private Volksschule Strebersdorf der Privaten Pädagogischen Hochschule - Hochschulstiftung Erzdiözese Wien (921670)";"privat";0,642857142857143;"64% - 

 - Private Volksschule Strebersdorf der Privaten Pädagogischen Hochschule - Hochschulstiftung Erzdiözese Wien (921670) - Mayerweckstraße 1, 1210 Wien - 

 - privat"
"70";921211;48,2973041;16,3887967;"Anton-Böck-Gasse 20, 1210 Wien";"Private Volksschule des Schulvereins De La Salle";"privat";0,788990825688073;"79% - 

 - Private Volksschule des Schulvereins De La Salle - Anton-Böck-Gasse 20, 1210 Wien - 

 - privat"
"71";921361;48,259603;16,4024677;"Weisselgasse 28, Nordbahnanlage 3, 1210 Wien";"Privatschule Vienna International Islamic Schools Volksschule des Vereins Al-Azhar International Schools";"privat";0,136363636363636;"14% - 

 - Privatschule Vienna International Islamic Schools Volksschule des Vereins Al-Azhar International Schools - Weisselgasse 28, Nordbahnanlage 3, 1210 Wien - 

 - privat"
"72";921411;48,27559;16,3891397;"Pragerstraße 124, 1210 Wien";"Priv.Volksschule Avicenna (lbn Sina) d. Vereins Kulturverein f. Völkerverständigung u. Bildung, Hafes-Goethe (HAGOE)";"privat";0,727272727272727;"73% - 

 - Priv.Volksschule Avicenna (lbn Sina) d. Vereins Kulturverein f. Völkerverständigung u. Bildung, Hafes-Goethe (HAGOE) - Pragerstraße 124, 1210 Wien - 

 - privat"
"73";920141;48,2411642;16,3829568;"Durchlaufstraße 23, 1200 Wien";"Volksschule";"öffentl.";0,428571428571429;"43% - 

 - Volksschule - Durchlaufstraße 23, 1200 Wien - 

 - öffentl."
"74";920161;48,2350831;16,390357;"Engerthstraße 134, 1200 Wien";"Volksschule";"öffentl.";NA;"NA - 

 - Volksschule - Engerthstraße 134, 1200 Wien - 

 - öffentl."
"75";920011;48,2407738;16,3820056;"Vorgartenstraße 42, 1200 Wien";"Volksschule";"öffentl.";0,273809523809524;"27% - 

 - Volksschule - Vorgartenstraße 42, 1200 Wien - 

 - öffentl."
"76";920071;48,2430988;16,3776863;"Leystraße 34, 1200 Wien";"Volksschule";"öffentl.";0,267716535433071;"27% - 

 - Volksschule - Leystraße 34, 1200 Wien - 

 - öffentl."
"77";920111;48,2405285;16,3678916;"Spielmanngasse 1, 1200 Wien";"Volksschule II";"öffentl.";0,53125;"53% - 

 - Volksschule II - Spielmanngasse 1, 1200 Wien - 

 - öffentl."
"78";920091;48,2406688;16,3675491;"Dietmayrgasse 3, 1200 Wien";"Volksschule I";"öffentl.";0,253968253968254;"25% - 

 - Volksschule I - Dietmayrgasse 3, 1200 Wien - 

 - öffentl."
"79";920051;48,2314942;16,3739604;"Greiseneckergasse 29, 1200 Wien";"Volksschule";"öffentl.";0,292452830188679;"29% - 

 - Volksschule - Greiseneckergasse 29, 1200 Wien - 

 - öffentl."
"80";920081;48,2345402;16,3898385;"Vorgartenstraße 95-97, 1200 Wien";"Volksschule";"öffentl.";NA;"NA - 

 - Volksschule - Vorgartenstraße 95-97, 1200 Wien - 

 - öffentl."
"81";920031;48,2312664;16,3641258;"Treustraße 53-55, 1200 Wien";"Volksschule";"öffentl.";0,341880341880342;"34% - 

 - Volksschule - Treustraße 53-55, 1200 Wien - 

 - öffentl."
"82";920121;48,248569;16,3742309;"Robert-Blum-Gasse 2, 1200 Wien";"Volksschule";"öffentl.";0,536585365853659;"54% - 

 - Volksschule - Robert-Blum-Gasse 2, 1200 Wien - 

 - öffentl."
"83";919071;48,2576658;16,3632912;"Oskar-Spiel-Gasse 3, 1190 Wien";"Volksschule";"öffentl.";0,375;"38% - 

 - Volksschule - Oskar-Spiel-Gasse 3, 1190 Wien - 

 - öffentl."
"84";919041;48,2402719;16,3522745;"Kreindlgasse 24, 1190 Wien";"Volksschule";"öffentl.";0,711864406779661;"71% - 

 - Volksschule - Kreindlgasse 24, 1190 Wien - 

 - öffentl."
"85";919091;48,2484814;16,3303745;"Windhabergasse 2, 1190 Wien";"Volksschule";"öffentl.";0,698412698412698;"70% - 

 - Volksschule - Windhabergasse 2, 1190 Wien - 

 - öffentl."
"86";919081;48,235755;16,35417;"Pantzergasse 25, 1190 Wien";"Volksschule";"öffentl.";0,348484848484849;"35% - 

 - Volksschule - Pantzergasse 25, 1190 Wien - 

 - öffentl."
"87";919061;48,2558963;16,3390779;"Mannagettagasse 1, 1190 Wien";"Volksschule";"öffentl.";0,775862068965517;"78% - 

 - Volksschule - Mannagettagasse 1, 1190 Wien - 

 - öffentl."
"88";919031;48,2538734;16,3580633;"Grinzinger Straße 84-88, 1190 Wien";"Volksschule";"öffentl.";0,734042553191489;"73% - 

 - Volksschule - Grinzinger Straße 84-88, 1190 Wien - 

 - öffentl."
"89";919051;48,2423542;16,3258047;"Krottenbachstraße 108, 1190 Wien";"Volksschule";"öffentl.";0,69;"69% - 

 - Volksschule - Krottenbachstraße 108, 1190 Wien - 

 - öffentl."
"90";919101;48,2514276;16,3386792;"Alfred-Wegener-Gasse 10, 1190 Wien";"Volksschule des Institutes Neulandschulen";"privat";0,857142857142857;"86% - 

 - Volksschule des Institutes Neulandschulen - Alfred-Wegener-Gasse 10, 1190 Wien - 

 - privat"
"91";919111;48,2422742;16,3553685;"Döblinger Hauptstraße 83, 1190 Wien";"Private Volksschule Maria Regina des Trägervereins Werke der Schwestern vom Armen Kinde Jesus";"privat";0,931818181818182;"93% - 

 - Private Volksschule Maria Regina des Trägervereins Werke der Schwestern vom Armen Kinde Jesus - Döblinger Hauptstraße 83, 1190 Wien - 

 - privat"
"92";918031;48,2205256;16,3423199;"Klettenhofergasse 3, 1180 Wien";"Volksschule";"öffentl.";0,288461538461538;"29% - 

 - Volksschule - Klettenhofergasse 3, 1180 Wien - 

 - öffentl."
"93";918021;48,2290406;16,3399625;"Cottagegasse 17, 1180 Wien";"Volksschule";"öffentl.";NA;"NA - 

 - Volksschule - Cottagegasse 17, 1180 Wien - 

 - öffentl."
"94";918041;48,2296856;16,3335993;"Köhlergasse 9, 1180 Wien";"Volksschule";"öffentl.";0,892857142857143;"89% - 

 - Volksschule - Köhlergasse 9, 1180 Wien - 

 - öffentl."
"95";918061;48,2254559;16,3388577;"Schulgasse 57, 1180 Wien";"Volksschule";"öffentl.";0,435483870967742;"44% - 

 - Volksschule - Schulgasse 57, 1180 Wien - 

 - öffentl."
"96";918051;48,2372508;16,3172523;"Scheibenbergstraße 63, 1180 Wien";"Volksschule";"öffentl.";0,758064516129032;"76% - 

 - Volksschule - Scheibenbergstraße 63, 1180 Wien - 

 - öffentl."
"97";918011;48,2337683;16,3247261;"Bischof-Faber-Platz 1, 1180 Wien";"Volksschule";"öffentl.";0,74390243902439;"74% - 

 - Volksschule - Bischof-Faber-Platz 1, 1180 Wien - 

 - öffentl."
"98";918181;48,2291911;16,3281637;"Scheidlstraße 2, 1180 Wien";"Private Volksschule Marianum des Schulvereins De La Salle";"privat";0,9;"90% - 

 - Private Volksschule Marianum des Schulvereins De La Salle - Scheidlstraße 2, 1180 Wien - 

 - privat"
"99";918151;48,2243869;16,3412659;"Schopenhauerstraße 44-46, 1180 Wien";"Private Volksschule des Schulvereins De La Salle";"privat";0,777777777777778;"78% - 

 - Private Volksschule des Schulvereins De La Salle - Schopenhauerstraße 44-46, 1180 Wien - 

 - privat"
"100";918071;48,2245747;16,333592;"Antonigasse 72, 1180 Wien";"Private Volksschule der Schulstiftung der Erzdiözese Wien";"privat";0,530864197530864;"53% - 

 - Private Volksschule der Schulstiftung der Erzdiözese Wien - Antonigasse 72, 1180 Wien - 

 - privat"
"101";918121;48,2289398;16,3489065;"Semperstraße 45, 1180 Wien";"Volksschule Albertus Magnus Schule der Vereinigung von Ordensschulen Österreichs";"privat";0,846938775510204;"85% - 

 - Volksschule Albertus Magnus Schule der Vereinigung von Ordensschulen Österreichs - Semperstraße 45, 1180 Wien - 

 - privat"
"102";918111;48,2206228;16,3395793;"Schumanngasse 17, 1180 Wien";"Volksschule der Evangelischen Schulgemeinde Wien";"privat";0,721518987341772;"72% - 

 - Volksschule der Evangelischen Schulgemeinde Wien - Schumanngasse 17, 1180 Wien - 

 - privat"
"103";918161;48,2271186;16,3330573;"Lacknergasse 75, 1180 Wien";"Vienna Elementary School des Dr. Christian Schauberger";"privat";0,446808510638298;"45% - 

 - Vienna Elementary School des Dr. Christian Schauberger - Lacknergasse 75, 1180 Wien - 

 - privat"
"104";917053;48,2259634;16,309953;"Hernalser Hauptstraße 220-222, 1170 Wien";"Allgemeine Sonderschule Zentrum für inklusiv- und Sonderpädagogik";"öffentl.";NA;"NA - 

 - Allgemeine Sonderschule Zentrum für inklusiv- und Sonderpädagogik - Hernalser Hauptstraße 220-222, 1170 Wien - 

 - öffentl."
"105";917021;48,2177349;16,3315636;"Kindermanngasse 1, 1170 Wien";"Volksschule";"öffentl.";0,642105263157895;"64% - 

 - Volksschule - Kindermanngasse 1, 1170 Wien - 

 - öffentl."
"106";917041;48,2189602;16,333879;"Rötzergasse 2-4, 1170 Wien";"Volksschule";"öffentl.";0,23;"23% - 

 - Volksschule - Rötzergasse 2-4, 1170 Wien - 

 - öffentl."
"107";917061;48,2195469;16,32179;"Wichtelgasse 67, 1170 Wien";"Volksschule";"öffentl.";0,305882352941176;"31% - 

 - Volksschule - Wichtelgasse 67, 1170 Wien - 

 - öffentl."
"108";917031;48,2316927;16,2920413;"Knollgasse 6, 1170 Wien";"Volksschule";"öffentl.";0,731707317073171;"73% - 

 - Volksschule - Knollgasse 6, 1170 Wien - 

 - öffentl."
"109";917011;48,2247631;16,315728;"Halirschgasse 25, 1170 Wien";"Volksschule";"öffentl.";0,406896551724138;"41% - 

 - Volksschule - Halirschgasse 25, 1170 Wien - 

 - öffentl."
"110";916091;48,2192381;16,3098063;"Odoakergasse 48, 1160 Wien";"Volksschule";"öffentl.";0,214285714285714;"21% - 

 - Volksschule - Odoakergasse 48, 1160 Wien - 

 - öffentl."
"111";916081;48,2126744;16,3077052;"Lorenz-Mandl-Gasse 58, 1160 Wien";"Volksschule";"öffentl.";0,323529411764706;"32% - 

 - Volksschule - Lorenz-Mandl-Gasse 58, 1160 Wien - 

 - öffentl."
"112";916011;48,2121035;16,3328035;"Gaullachergasse 49, 1160 Wien";"Volksschule";"öffentl.";NA;"NA - 

 - Volksschule - Gaullachergasse 49, 1160 Wien - 

 - öffentl."
"113";916061;48,2087137;16,3080643;"Landsteinergasse 4, 1160 Wien";"Volksschule";"öffentl.";0,281553398058252;"28% - 

 - Volksschule - Landsteinergasse 4, 1160 Wien - 

 - öffentl."
"114";916101;48,2105646;16,3326442;"Grundsteingasse 56, 1160 Wien";"Volksschule";"öffentl.";0,377777777777778;"38% - 

 - Volksschule - Grundsteingasse 56, 1160 Wien - 

 - öffentl."
"115";916041;48,2196519;16,3109699;"Julius-Meinl-Gasse 1, 1160 Wien";"Volksschule";"öffentl.";0,611764705882353;"61% - 

 - Volksschule - Julius-Meinl-Gasse 1, 1160 Wien - 

 - öffentl."
"116";916051;48,2082286;16,321267;"Brüsslgasse 18, 1160 Wien";"Volksschule";"öffentl.";0,450819672131148;"45% - 

 - Volksschule - Brüsslgasse 18, 1160 Wien - 

 - öffentl."
"117";916071;48,206692;16,3298399;"Liebhartsgasse 19-21, 1160 Wien";"Volksschule";"öffentl.";0,177215189873418;"18% - 

 - Volksschule - Liebhartsgasse 19-21, 1160 Wien - 

 - öffentl."
"118";916021;48,2124233;16,3158705;"Grubergasse 4, 1160 Wien";"Volksschule";"öffentl.";0,353448275862069;"35% - 

 - Volksschule - Grubergasse 4, 1160 Wien - 

 - öffentl."
"119";916031;48,2074481;16,3213379;"Herbststraße 86, 1160 Wien";"Volksschule Vienna Bilingual School";"öffentl.";0,616352201257862;"62% - 

 - Volksschule Vienna Bilingual School - Herbststraße 86, 1160 Wien - 

 - öffentl."
"120";915031;48,1905807;16,3334716;"Friesgasse 10, 1150 Wien";"Volksschule Oskar-Spiel-Schule";"öffentl.";0,298701298701299;"30% - 

 - Volksschule Oskar-Spiel-Schule - Friesgasse 10, 1150 Wien - 

 - öffentl."
